PARAMETER ID @ COMMENT,16065@TARA_barcode#,16065@BioSamples accession number (SAMEA#),16065@ENA sample accession number (ERS#),102005@TARA_station#,500000@TARA_event-datetime_station#_event-type,"139620@[abbreviation], full name (ENVO:ID) from which this sample was collected",139619@from which this sample was collected,3@from which this sample was collected,4@from which this sample was collected,139766@used on board to prepare samples,139765@used on board to prepare samples,145407@TARA_station#_environmental-feature_size-fraction,"16119@short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing), methodological specificity (e.g. volume, time, preservative, destination), and size fraction (N=sample material collected with a net, W=water collected with a pump/bottles/bucket, CW=water concentrated by tangential filtration)",790@TARA_event-datetime_station#_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode,@ENA study accession number (PRJ#),@nucleic acids preparation ,@18S and 16S rDNA amplicons generation,@Illumina libraries preparation,54242@library name,@ENA experiment accession number (ERX#),@ENA run accession number (ERR#),@ENA run alias,54242@nucleotides data file (fastq format) from ENA's sequence read archive ,54242@nucleotides data file from ENA's sequence read archive ,,,,,,,,,,
PARAMETER,Sample ID,Sample ID,Sample ID,Station label,Event label,Environmental feature,"Depth, nominal","Depth, top/min","Depth, bottom/max","Size fraction, lower threshold","Size fraction, upper threshold",Sample material,Sample method,Sample code/label,Analysis ID,Analysis method,Analysis method,Analysis method,Analysis label,Analysis ID,Analysis ID,Analysis label,Uniform resource locator/link to metadata file,Uniform resource locator/link to metadata file,,,,,,,,,,
PI,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Pesant,Alberti,Alberti,Alberti,Alberti,pesant,Alberti,Alberti,Alberti,pesant,pesant,,,,,,,,,,
METHOD,"registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)",registered at the BioSamples database (http://www.ebi.ac.uk/biosamples/),registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),"registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)","registered at PANGAEA, Data Publisher for Earth and Environmental Science (www.pangaea.de)","terms registered at EnvO, the Environmental Ontology (http://environmentontology.org/)",,,,described in (Pesant et al. 2017),described in (Pesant et al. 2017),,described in (Pesant et al. 2017),,registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),,,,,registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),registered at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),published at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),published at the European Nucleotides Archive (http://www.ebi.ac.uk/ENA/),,,,,,,,,,
COMMENT,TARA_barcode#,BioSamples accession number (SAMEA#),ENA sample accession number (ERS#),TARA_station#,TARA_event-datetime_station#_event-type,"[abbreviation], full name (ENVO:ID) from which this sample was collected",from which this sample was collected,from which this sample was collected,from which this sample was collected,used on board to prepare samples,used on board to prepare samples,TARA_station#_environmental-feature_size-fraction,"short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing), methodological specificity (e.g. volume, time, preservative, destination), and size fraction (N=sample material collected with a net, W=water collected with a pump/bottles/bucket, CW=water concentrated by tangential filtration)",TARA_event-datetime_station#_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode,ENA study accession number (PRJ#),nucleic acids preparation ,18S and 16S rDNA amplicons generation,Illumina libraries preparation,library name,ENA experiment accession number (ERX#),ENA run accession number (ERR#),ENA run alias,nucleotides data file (fastq format) from ENA's sequence read archive ,nucleotides data file from ENA's sequence read archive ,,,,,,,,,,
Row# / Column#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,
1,TARA_A200000158,SAMEA2591077,ERS477956,TARA_007,TARA_20090923T1608Z_007_EVENT_PUMP,[DCM] deep chlorophyll maximum layer (ENVO:01000326),42,37,47,0.8,5,TARA_007_DCM_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20090923T1608Z_007_EVENT_PUMP_DCM_(42m)_SEQ-(100L-or-15min)_W0.8-5_A200000158,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAAOSU_r1,ERX503385,ERR538182,run_AHX_AAAOSU_7_C2EV3ACXX,ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538182/ERR538182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538182/ERR538182_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538182,,,,,,,,,,
2,TARA_A200000148,SAMEA2591082,ERS477961,TARA_007,TARA_20090923T1608Z_007_EVENT_PUMP,[DCM] deep chlorophyll maximum layer (ENVO:01000326),42,37,47,5,20,TARA_007_DCM_5-20,SEQ-(500mL-or-15min)_W5-20,TARA_20090923T1608Z_007_EVENT_PUMP_DCM_(42m)_SEQ-(500mL-or-15min)_W5-20_A200000148,PRJEB4352,Euk_DNA_RNA_ext,,MetaG_virus,AHX_AABOSS_r1,ERX503378,ERR538181,run_AHX_AABOSS_3_C2FGHACXX,ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538181/ERR538181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538181/ERR538181_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538181,,,,,,,,,,
3,TARA_A200000123,SAMEA2189670,ERS327857,TARA_007,TARA_20090923T1250Z_007_EVENT_PUMP,[SRF] surface water layer (ENVO:00010504),9,3,15,0.8,5,TARA_007_SRF_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(100L-or-15min)_W0.8-5_A200000123,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAEOSF_r1,ERX288969,ERR315815,run_AHX_AAEOSF_4_C00HUABXX.IND4,ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315815/ERR315815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315815/ERR315815_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315815,,,,,,,,,,
4,TARA_A200000123,SAMEA2189670,ERS327857,TARA_007,TARA_20090923T1250Z_007_EVENT_PUMP,[SRF] surface water layer (ENVO:00010504),9,3,15,0.8,5,TARA_007_SRF_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(100L-or-15min)_W0.8-5_A200000123,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAEOSF_r2,ERX288964,ERR315817,run_AHX_AAEOSF_4_C00HUABXX.IND5,ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315817/ERR315817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315817/ERR315817_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315817,,,,,,,,,,
5,TARA_A200000123,SAMEA2189670,ERS327857,TARA_007,TARA_20090923T1250Z_007_EVENT_PUMP,[SRF] surface water layer (ENVO:00010504),9,3,15,0.8,5,TARA_007_SRF_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(100L-or-15min)_W0.8-5_A200000123,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAEOSF_r3,ERX288975,ERR315820,run_AHX_AAEOSF_6_B02DDACXX.IND4,ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315820/ERR315820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315820/ERR315820_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315820,,,,,,,,,,
6,TARA_A200000123,SAMEA2189670,ERS327857,TARA_007,TARA_20090923T1250Z_007_EVENT_PUMP,[SRF] surface water layer (ENVO:00010504),9,3,15,0.8,5,TARA_007_SRF_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(100L-or-15min)_W0.8-5_A200000123,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAEOSF_r4,ERX288973,ERR315822,run_AHX_AAEOSF_6_B02DDACXX.IND5,ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315822/ERR315822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315822/ERR315822_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315822,,,,,,,,,,
7,TARA_A200000123,SAMEA2189670,ERS327857,TARA_007,TARA_20090923T1250Z_007_EVENT_PUMP,[SRF] surface water layer (ENVO:00010504),9,3,15,0.8,5,TARA_007_SRF_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(100L-or-15min)_W0.8-5_A200000123,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAEOSF_r5,ERX288965,ERR315821,run_AHX_AAEOSF_7_B02DDACXX.IND4,ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315821/ERR315821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315821/ERR315821_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315821,,,,,,,,,,
8,TARA_A200000123,SAMEA2189670,ERS327857,TARA_007,TARA_20090923T1250Z_007_EVENT_PUMP,[SRF] surface water layer (ENVO:00010504),9,3,15,0.8,5,TARA_007_SRF_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20090923T1250Z_007_EVENT_PUMP_SRF_(9m)_SEQ-(100L-or-15min)_W0.8-5_A200000123,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAEOSF_r6,ERX288947,ERR315802,run_AHX_AAEOSF_2_D0803ACXX.IND1,ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315802/ERR315802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315802/ERR315802_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315802,,,,,,,,,,
9,TARA_A100000551,SAMEA2591093,ERS477988,TARA_023,TARA_20091118T0841Z_023_EVENT_PUMP,[SRF] surface water layer (ENVO:00010504),5,3,7,0.8,5,TARA_023_SRF_0.8-5,SEQ-(100L-or-15min)_W0.8-5,TARA_20091118T0841Z_023_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_A100000551,PRJEB4352,Euk_DNA_RNA_ext,,MetaG,AHX_AAQOSU_r1,ERX503388,ERR538173,run_AHX_AAQOSU_1_C2EV3ACXX,ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538173/ERR538173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538173/ERR538173_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538173,,,,,,,,,,
